basis,method,registry,distance,energy,energy_err
bn,DFT-D3,0.0,2.6,-164.91737935266696,0.0
bn,DFT-D3,0.0,2.7,-164.94920502036717,0.0
bn,DFT-D3,0.0,2.8,-164.97262917819734,0.0
bn,DFT-D3,0.0,2.9,-164.98953128133107,0.0
bn,DFT-D3,0.0,3.0,-165.00136856655314,0.0
bn,DFT-D3,0.0,3.1,-165.00936221203105,0.0
bn,DFT-D3,0.0,3.2,-165.01450890214616,0.0
bn,DFT-D3,0.0,3.3,-165.0176155900165,0.0
bn,DFT-D3,0.0,3.4,-165.01930296694616,0.0
bn,DFT-D3,0.0,3.5,-165.02001413604884,0.0
bn,DFT-D3,0.0,3.6,-165.0200646131365,0.0
bn,DFT-D3,0.0,3.7,-165.0196554562044,0.0
bn,DFT-D3,0.0,3.8,-165.0189479946506,0.0
bn,DFT-D3,0.0,3.9,-165.0180302232364,0.0
bn,DFT-D3,0.0,4.0,-165.01698445634997,0.0
bn,DFT-D3,0.0,4.2,-165.01472798767273,0.0
bn,DFT-D3,0.0,4.5,-165.01152803283858,0.0
bn,DFT-D3,0.0,5.0,-165.00755418669848,0.0
bn,DFT-D3,0.0,5.5,-165.005137477078,0.0
bn,DFT-D3,0.0,6.0,-165.00372660166138,0.0
bn,DFT-D3,0.0,6.5,-165.00290376390728,0.0
bn,DFT-D3,0.0,7.0,-165.0024334494256,0.0
bn,DFT-D3,0.0,8.0,-165.00200827180063,0.0
bn,DFT-D3,0.0,9.0,-165.00185809906347,0.0
bn,DFT-D3,0.0,11.0,-165.00176353955968,0.0
bn,DFT-D3,0.16667,2.6,-164.9348165333382,0.0
bn,DFT-D3,0.16667,2.7,-164.9621507606647,0.0
bn,DFT-D3,0.16667,2.8,-164.98206625069076,0.0
bn,DFT-D3,0.16667,2.9,-164.99629919073735,0.0
bn,DFT-D3,0.16667,3.0,-165.00619072709063,0.0
bn,DFT-D3,0.16667,3.1,-165.0128240762822,0.0
bn,DFT-D3,0.16667,3.2,-165.01704877722105,0.0
bn,DFT-D3,0.16667,3.3,-165.0195200796486,0.0
bn,DFT-D3,0.16667,3.4,-165.0207476865017,0.0
bn,DFT-D3,0.16667,3.5,-165.02111170657713,0.0
bn,DFT-D3,0.16667,3.6,-165.0208836753133,0.0
bn,DFT-D3,0.16667,3.7,-165.0202642765492,0.0
bn,DFT-D3,0.16667,3.8,-165.01940007751574,0.0
bn,DFT-D3,0.16667,3.9,-165.0183067587637,0.0
bn,DFT-D3,0.16667,4.0,-165.0171632690519,0.0
bn,DFT-D3,0.16667,4.2,-165.01482693500964,0.0
bn,DFT-D3,0.16667,4.5,-165.01156374775908,0.0
bn,DFT-D3,0.16667,5.0,-165.00756190792416,0.0
bn,DFT-D3,0.16667,5.5,-165.00513802130533,0.0
bn,DFT-D3,0.16667,6.0,-165.0037269077893,0.0
bn,DFT-D3,0.16667,6.5,-165.00290362785046,0.0
bn,DFT-D3,0.16667,7.0,-165.0024306262462,0.0
bn,DFT-D3,0.16667,8.0,-165.00200691123223,0.0
bn,DFT-D3,0.16667,9.0,-165.00185843920556,0.0
bn,DFT-D3,0.16667,11.0,-165.00176309737492,0.0
bn,DFT-D3,0.33333,2.6,-164.95782279258432,0.0
bn,DFT-D3,0.33333,2.7,-164.97979668654273,0.0
bn,DFT-D3,0.33333,2.8,-164.99536801772442,0.0
bn,DFT-D3,0.33333,2.9,-165.00616351572265,0.0
bn,DFT-D3,0.33333,3.0,-165.0134151752236,0.0
bn,DFT-D3,0.33333,3.1,-165.01808648273973,0.0
bn,DFT-D3,0.33333,3.2,-165.0208915325958,0.0
bn,DFT-D3,0.33333,3.3,-165.02235070819057,0.0
bn,DFT-D3,0.33333,3.4,-165.02285173750388,0.0
bn,DFT-D3,0.33333,3.5,-165.02268006778604,0.0
bn,DFT-D3,0.33333,3.6,-165.02204855996317,0.0
bn,DFT-D3,0.33333,3.7,-165.02111442771394,0.0
bn,DFT-D3,0.33333,3.8,-165.01999814937014,0.0
bn,DFT-D3,0.33333,3.9,-165.018712548289,0.0
bn,DFT-D3,0.33333,4.0,-165.01748256044118,0.0
bn,DFT-D3,0.33333,4.2,-165.0149649306596,0.0
bn,DFT-D3,0.33333,4.5,-165.01160919074366,0.0
bn,DFT-D3,0.33333,5.0,-165.0075695611214,0.0
